Size,MPIN,OMPT,ompN,MPIT,seq
64,0.6,0.00,.0.00,0.02,0.00
128,0.60,0.00,0.00,0.00,0.00
256,0.61,0.00,0.00,0.00,0.00
512,0.64,0.003,0.04,0.01,0.01
1024,0.69,0.09,0.10,0.01,0.03
2048,0.80,0.25,0.32,0.00,0.15
4096,1.90,1.35,1.25,0.02,0.5
8192,4.20,4.80,4.63,0.01,1.89
16384,46.00,18.97,18.76,0.01,8.76
32768,51.78,45.36,44.68,0.03,31.87
